iter	Logloss
0	0.6515498355
1	0.6171489394
2	0.5869320726
3	0.5618722596
4	0.540134148
5	0.5210389404
6	0.5040634212
7	0.4899864869
8	0.4766116973
9	0.4654897271
10	0.4549549337
11	0.4464300719
12	0.4387896048
13	0.43208419
14	0.4258326154
15	0.4195851397
16	0.4151689282
17	0.4113861667
18	0.4075762705
19	0.404235209
20	0.4010859128
21	0.3984985761
22	0.3966669776
23	0.3944616777
24	0.3926474696
25	0.3908947086
26	0.3890918663
27	0.3874031146
28	0.3856828753
29	0.3838388839
30	0.3831153161
31	0.3811679002
32	0.3798515723
33	0.3790947931
34	0.378315563
35	0.3773031598
36	0.3762469698
37	0.3756644756
38	0.3749124604
39	0.3738884564
40	0.3731925163
41	0.3723870381
42	0.3717407536
43	0.3714646188
44	0.3705586593
45	0.3701074103
46	0.3698790183
47	0.3696098785
48	0.3691768843
49	0.3691628449
50	0.368937134
51	0.3684900297
52	0.3683674572
53	0.367232997
54	0.3668162195
55	0.3666650236
56	0.3661728546
57	0.3655759422
58	0.3652467838
59	0.364771272
60	0.3644479457
61	0.3644445633
62	0.3641680893
63	0.3637778875
64	0.3632375302
65	0.3627182161
66	0.36235408
67	0.3623471721
68	0.3621040199
69	0.3620774219
70	0.3617781052
71	0.3616086301
72	0.3615110401
73	0.3614565608
74	0.361278469
75	0.3611746335
76	0.3610912956
77	0.3610641556
78	0.3609968396
79	0.3609137059
80	0.3607682241
81	0.3607682183
82	0.3607673097
83	0.3604730525
84	0.360402214
85	0.3602427546
86	0.359930344
87	0.3599303424
88	0.3596406506
89	0.3596185286
90	0.3594626557
91	0.3592427784
92	0.3582794815
93	0.3582421768
94	0.3582081815
95	0.3582019863
96	0.3578776411
97	0.3578180519
98	0.357792996
99	0.3577692307
100	0.3577659202
101	0.3576880365
102	0.3575635778
103	0.3575635614
104	0.3570897943
105	0.3569866936
106	0.3569866935
107	0.3566880762
108	0.3566347353
109	0.3565481961
110	0.355636163
111	0.3555637336
112	0.3555352273
113	0.3555196473
114	0.3553361979
115	0.35525313
116	0.3551325317
117	0.3550043436
118	0.3549495966
119	0.354925661
120	0.3548665785
121	0.3548301789
122	0.3547559489
123	0.3545465143
124	0.3545190363
125	0.3544139921
126	0.3542258412
127	0.3541699811
128	0.3541699807
129	0.3540578536
130	0.3540570393
131	0.3540150385
132	0.3540005564
133	0.3539972931
134	0.3539972931
135	0.3537757766
136	0.3537731759
137	0.3537513503
138	0.3537278298
139	0.3536966639
140	0.3536458356
141	0.3536219527
142	0.3536076654
143	0.3535465168
144	0.3534570837
145	0.3534203919
146	0.3534203765
147	0.3530533397
148	0.3529559733
149	0.3526930436
150	0.3526654357
151	0.3526242079
152	0.3525871522
153	0.3522966187
154	0.3521583824
155	0.352158378
156	0.3521448407
157	0.3519998739
158	0.3519998711
159	0.3519360511
160	0.3516335468
161	0.3516130558
162	0.3514494646
163	0.3514186404
164	0.3513730612
165	0.3512003356
166	0.3511958318
167	0.3511860371
168	0.3511538865
169	0.3511208811
170	0.3510819035
171	0.3510818994
172	0.3510432244
173	0.3510432188
174	0.3510248259
175	0.3508761215
176	0.3508252926
177	0.3507737917
178	0.3507413839
179	0.350738931
180	0.3507311207
181	0.350702527
182	0.3506704327
183	0.3506516597
184	0.3506493313
185	0.3506366563
186	0.3505819878
187	0.3505218781
188	0.3505185455
189	0.3504741922
190	0.3504311902
191	0.3504052443
192	0.3503884799
193	0.3503884789
194	0.3503884783
195	0.3503521125
196	0.3503519883
197	0.3502553651
198	0.3499585317
199	0.3499585316
200	0.3498959638
201	0.3498959451
202	0.3498959451
203	0.3498923439
204	0.3498923231
205	0.3498666223
206	0.3497493048
207	0.3497037298
208	0.3496558854
209	0.3495980128
210	0.3495683667
211	0.3495586183
212	0.3495579701
213	0.3495561111
214	0.3495312351
215	0.3494972686
216	0.3491973876
217	0.3487559981
218	0.3485652882
219	0.3485610935
220	0.3481252559
221	0.3481251858
222	0.3481251849
223	0.3476817832
224	0.3476383892
225	0.3472252825
226	0.3472010951
227	0.3471908648
228	0.3470285057
229	0.3470221417
230	0.3466735541
231	0.3463325713
232	0.3462854856
233	0.3462655721
234	0.3460630628
235	0.3460002071
236	0.3459336408
237	0.3456971271
238	0.3456499276
239	0.3456499275
240	0.3455698802
241	0.3447897029
242	0.3447283275
243	0.3444386551
244	0.3443658209
245	0.3431898341
246	0.3428992731
247	0.3427954387
248	0.3426391826
249	0.3425844741
250	0.3422981996
251	0.3421258702
252	0.3416804054
253	0.3416299782
254	0.3413813564
255	0.3410360981
256	0.3405582711
257	0.3403106169
258	0.340250245
259	0.3400439287
260	0.3398196275
261	0.3395976299
262	0.3393187477
263	0.3389048662
264	0.3388822231
265	0.3383143879
266	0.3380455721
267	0.3374503007
268	0.3372831701
269	0.3371059487
270	0.3369156537
271	0.3367696181
272	0.3367119611
273	0.3363439202
274	0.3361890823
275	0.3358866807
276	0.3357058609
277	0.3355727383
278	0.3354587601
279	0.3352833386
280	0.3352211144
281	0.3344981416
282	0.3341536391
283	0.3338228544
284	0.3335454739
285	0.3331024959
286	0.3327456837
287	0.332669557
288	0.332573295
289	0.3324844602
290	0.3321225397
291	0.332068729
292	0.3319395591
293	0.3317055575
294	0.3314310087
295	0.3309459802
296	0.3308234918
297	0.3304993053
298	0.3303637146
299	0.3299150271
300	0.329834997
301	0.3295998098
302	0.3293775467
303	0.3292250718
304	0.329175179
305	0.3291397024
306	0.3288895296
307	0.3286867554
308	0.328388129
309	0.3281567779
310	0.3280239695
311	0.3279335916
312	0.3278421109
313	0.3277810238
314	0.3277266512
315	0.3276761729
316	0.3274875764
317	0.3274274438
318	0.3273830276
319	0.3273409703
320	0.3272791156
321	0.3270390069
322	0.3269953663
323	0.3269377408
324	0.3267436912
325	0.3265880882
326	0.3265620785
327	0.3265323626
328	0.3264493279
329	0.3263992742
330	0.3262081409
331	0.3261318502
332	0.3257179095
333	0.3256806654
334	0.3255850576
335	0.3253904527
336	0.325104904
337	0.3249551425
338	0.3249195604
339	0.3247393517
340	0.3246734136
341	0.3246423424
342	0.3244668764
343	0.3243564097
344	0.3242662846
345	0.3241149175
346	0.3239294569
347	0.3238570877
348	0.3236836082
349	0.32365268
350	0.3233736399
351	0.3232901369
352	0.3231094203
353	0.3229830775
354	0.3229493727
355	0.3228003778
356	0.3226674336
357	0.3225591805
358	0.3223580918
359	0.3222750317
360	0.3221806913
361	0.3221375407
362	0.3220869543
363	0.3219812615
364	0.3219614015
365	0.321926224
366	0.3219002295
367	0.321850193
368	0.321827711
369	0.3217563423
370	0.3216467001
371	0.3214188937
372	0.3213212159
373	0.3211842254
374	0.3210022311
375	0.3209849071
376	0.3208893344
377	0.3208232167
378	0.3206392189
379	0.3204977119
380	0.320430244
381	0.3203215532
382	0.3202394564
383	0.3201674847
384	0.3201044691
385	0.3199879655
386	0.3198500633
387	0.3197459503
388	0.3196235729
389	0.319509019
390	0.3192013289
391	0.3191768095
392	0.3190992473
393	0.3190489757
394	0.3190132995
395	0.3188283503
396	0.3187966497
397	0.3186831023
398	0.3186157006
399	0.318512693
400	0.3183911201
401	0.3180796457
402	0.3180666028
403	0.3179892682
404	0.3179004783
405	0.3177666676
406	0.3177402276
407	0.3177031504
408	0.3175381293
409	0.3173744314
410	0.3173480462
411	0.3173023532
412	0.3170864475
413	0.3170167461
414	0.3169993165
415	0.316912521
416	0.3168822618
417	0.3167842957
418	0.3166935844
419	0.3165779915
420	0.3164347765
421	0.3163426054
422	0.3163015912
423	0.3162473751
424	0.3162015926
425	0.3161845037
426	0.3161203829
427	0.3160521552
428	0.3160361384
429	0.3159591793
430	0.3158890202
431	0.3158780229
432	0.3156986568
433	0.3155163945
434	0.3154195899
435	0.3153406385
436	0.3152806542
437	0.3151900794
438	0.3151369074
439	0.3150115876
440	0.3149906376
441	0.3149552317
442	0.3148581452
443	0.3148036902
444	0.314690425
445	0.3145407914
446	0.3144568681
447	0.3144033199
448	0.3142853393
449	0.3142595091
450	0.3142038228
451	0.3141940338
452	0.3141450242
453	0.3140727895
454	0.3140354817
455	0.3139832285
456	0.3138980409
457	0.3138333717
458	0.3137841311
459	0.3137841306
460	0.313736003
461	0.3136192706
462	0.3135482172
463	0.313534159
464	0.3134605128
465	0.3133983702
466	0.3133745621
467	0.3133441334
468	0.3132616053
469	0.3132057689
470	0.3131908369
471	0.3131703061
472	0.3131537865
473	0.3131360413
474	0.313069831
475	0.3129919233
476	0.3128789835
477	0.3127847556
478	0.3127747043
479	0.3127131593
480	0.312673907
481	0.3126352424
482	0.3126235207
483	0.3125029329
484	0.3124354867
485	0.3123833593
486	0.3123786069
487	0.3123695217
488	0.3123228471
489	0.312322847
490	0.3122566136
491	0.3121994024
492	0.3121781716
493	0.3121391651
494	0.312117367
495	0.3120164737
496	0.3119668889
497	0.3118834279
498	0.3116444946
499	0.3115248318
500	0.3114301304
501	0.3112861951
502	0.3111753372
503	0.3111197382
504	0.3110351002
505	0.3109256831
506	0.3108677352
507	0.3107778578
508	0.3107620869
509	0.3107529127
510	0.310721572
511	0.3106748858
512	0.3106242169
513	0.3104927402
514	0.3104270526
515	0.3104019206
516	0.3103662943
517	0.3102765239
518	0.3102445233
519	0.3101432194
520	0.3100361192
521	0.3099908378
522	0.3099333649
523	0.3099173184
524	0.3099006238
525	0.309846685
526	0.3097192499
527	0.3096651661
528	0.3096445015
529	0.3095841708
530	0.3095621291
531	0.3095260931
532	0.3095125262
533	0.309429774
534	0.3093869217
535	0.3093618041
536	0.309331397
537	0.3092775814
538	0.3091692503
539	0.3091161207
540	0.3090923649
541	0.3090429554
542	0.3089946563
543	0.3089477433
544	0.3089066289
545	0.3088386353
546	0.3087798834
547	0.3087144347
548	0.3086809118
549	0.3086498265
550	0.3085132084
551	0.3084810681
552	0.3084573081
553	0.3083545513
554	0.3083174893
555	0.3082577797
556	0.3081689591
557	0.3081268648
558	0.3080970671
559	0.3080375787
560	0.308026223
561	0.3079199683
562	0.30788412
563	0.3078591842
564	0.307748796
565	0.3077305654
566	0.3076795941
567	0.307604508
568	0.3075753297
569	0.3075488878
570	0.3075356007
571	0.307496699
572	0.307450214
573	0.3074405572
574	0.3074022745
575	0.3073540405
576	0.3072276225
577	0.3071897619
578	0.307124292
579	0.3071127967
580	0.3070815594
581	0.3070464998
582	0.3070018226
583	0.3068841188
584	0.3068569142
585	0.3067997041
586	0.3067749493
587	0.3067502799
588	0.3066997234
589	0.3066401263
590	0.3066079367
591	0.3065544354
592	0.3064968817
593	0.3064364747
594	0.3063533937
595	0.3062855302
596	0.3062058526
597	0.3061977245
598	0.3061471777
599	0.3061245958
600	0.3060714249
601	0.3059773307
602	0.3059259071
