iter	Passed	Remaining
0	264	211158
1	367	146460
2	476	126532
3	580	115617
4	694	110432
5	809	107068
6	910	103182
7	1023	101366
8	1140	100253
9	1248	98597
10	1353	97085
11	1460	95922
12	1567	94874
13	1697	95312
14	1806	94534
15	1911	93643
16	2014	92792
17	2116	91935
18	2220	91267
19	2326	90728
20	2437	90409
21	2541	89879
22	2643	89315
23	2759	89208
24	2866	88871
25	2966	88322
26	3068	87851
27	3170	87428
28	3278	87158
29	3386	86932
30	3495	86713
31	3599	86382
32	3707	86172
33	3796	85537
34	3903	85309
35	4016	85237
36	4124	85053
37	4201	84252
38	4302	83947
39	4405	83700
40	4509	83482
41	4603	83083
42	4707	82879
43	4781	82147
44	4883	81931
45	4960	81309
46	5032	80629
47	5140	80526
48	5243	80368
49	5270	79053
50	5340	78425
51	5443	78305
52	5490	77384
53	5587	77183
54	5668	76782
55	5773	76704
56	5890	76781
57	5992	76657
58	6107	76700
59	6214	76649
60	6318	76549
61	6344	75519
62	6447	75429
63	6555	75388
64	6655	75262
65	6755	75127
66	6857	75028
67	6902	74303
68	7000	74159
69	7053	73559
70	7153	73450
71	7258	73395
72	7360	73303
73	7423	72833
74	7531	72803
75	7634	72729
76	7739	72673
77	7824	72424
78	7924	72323
79	8032	72292
80	8108	71974
81	8132	71204
82	8174	70616
83	8280	70581
84	8392	70597
85	8547	70963
86	8674	71093
87	8695	70351
88	8809	70376
89	8854	69849
90	8948	69721
91	9049	69638
92	9148	69549
93	9215	69211
94	9270	68794
95	9326	68392
96	9426	68319
97	9527	68245
98	9602	67992
99	9648	67542
100	9681	67001
101	9777	66909
102	9879	66852
103	9901	66260
104	10003	66216
105	10107	66173
106	10139	65666
107	10239	65609
108	10313	65382
109	10414	65330
110	10518	65292
111	10619	65231
112	10720	65176
113	10799	64986
114	10906	64967
115	11006	64898
116	11111	64864
117	11214	64816
118	11316	64758
119	11356	64352
120	11460	64309
121	11504	63933
122	11603	63864
123	11705	63813
124	11780	63617
125	11877	63537
126	11979	63480
127	12077	63407
128	12100	62943
129	12203	62897
130	12238	62499
131	12345	62473
132	12452	62451
133	12528	62266
134	12550	61822
135	12651	61766
136	12683	61382
137	12737	61104
138	12844	61082
139	12941	61008
140	13052	61002
141	13156	60966
142	13209	60689
143	13295	60570
144	13405	60554
145	13471	60345
146	13506	59997
147	13603	59928
148	13714	59919
149	13822	59895
150	13868	59606
151	13948	59466
152	14057	59445
153	14163	59414
154	14265	59364
155	14290	58995
156	14358	58804
157	14461	58762
158	14484	58393
159	14589	58357
160	14691	58310
161	14747	58081
162	14851	58038
163	14965	58038
164	15083	58049
165	15197	58044
166	15309	58029
167	15384	57874
168	15505	57894
169	15608	57842
170	15715	57808
171	15747	57495
172	15848	57440
173	15883	57143
174	15956	56988
175	16053	56918
176	16151	56848
177	16220	56679
178	16296	56536
179	16341	56287
180	16400	56089
181	16502	56036
182	16616	56023
183	16694	55889
184	16741	55653
185	16798	55452
186	16899	55397
187	17005	55359
188	17037	55080
189	17134	55009
190	17238	54964
191	17336	54900
192	17438	54845
193	17506	54685
194	17528	54382
195	17605	54253
196	17639	53993
197	17738	53931
198	17837	53870
199	17859	53579
200	17957	53514
201	17997	53280
202	18019	52994
203	18080	52823
204	18111	52568
205	18171	52396
206	18288	52391
207	18367	52277
208	18442	52152
209	18557	52138
210	18655	52075
211	18722	51927
212	18757	51694
213	18819	51534
214	18920	51482
215	19023	51434
216	19123	51379
217	19227	51332
218	19325	51269
219	19374	51078
220	19476	51026
221	19515	50811
222	19537	50552
223	19657	50547
224	19754	50484
225	19854	50426
226	19965	50398
227	20061	50330
228	20162	50273
229	20217	50104
230	20318	50049
231	20423	50001
232	20518	49932
233	20628	49897
234	20744	49876
235	20856	49842
236	20974	49824
237	21076	49767
238	21195	49752
239	21224	49524
240	21368	49564
241	21497	49569
242	21615	49547
243	21722	49498
244	21839	49474
245	21949	49430
246	22054	49377
247	22158	49321
248	22268	49276
249	22372	49219
250	22504	49221
251	22625	49201
252	22745	49177
253	22875	49173
254	22993	49142
255	23122	49134
256	23257	49139
257	23361	49078
258	23486	49059
259	23611	49038
260	23749	49044
261	23887	49051
262	24006	49016
263	24152	49036
264	24236	48930
265	24359	48901
266	24495	48899
267	24627	48886
268	24750	48856
269	24877	48834
270	24997	48795
271	25124	48771
272	25260	48762
273	25383	48729
274	25517	48714
275	25645	48688
276	25783	48681
277	25926	48682
278	26047	48640
279	26187	48633
280	26296	48568
281	26419	48529
282	26545	48494
283	26668	48453
284	26794	48418
285	26923	48387
286	27052	48354
287	27176	48313
288	27303	48277
289	27427	48234
290	27546	48183
291	27675	48147
292	27803	48110
293	27927	48066
294	28054	48025
295	28174	47972
296	28292	47916
297	28420	47876
298	28545	47829
299	28665	47775
300	28799	47743
301	28929	47704
302	29055	47659
303	29182	47613
304	29310	47568
305	29428	47508
306	29548	47450
307	29662	47383
308	29780	47321
309	29899	47260
310	30020	47202
311	30145	47151
312	30270	47098
313	30397	47047
314	30513	46980
315	30635	46922
316	30762	46872
317	30891	46822
318	31012	46762
319	31143	46714
320	31263	46651
321	31380	46583
322	31510	46533
323	31633	46473
324	31749	46403
325	31869	46338
326	31982	46261
327	32102	46196
328	32232	46144
329	32347	46070
330	32477	46017
331	32609	45966
332	32724	45893
333	32866	45856
334	32994	45798
335	33117	45733
336	33237	45664
337	33361	45600
338	33481	45531
339	33595	45452
340	33705	45368
341	33832	45307
342	33944	45226
343	34067	45158
344	34194	45096
345	34314	45025
346	34437	44957
347	34558	44886
348	34678	44814
349	34793	44734
350	34910	44657
351	35028	44582
352	35159	44522
353	35275	44443
354	35394	44367
355	35524	44305
356	35634	44218
357	35766	44158
358	35883	44080
359	36004	44006
360	36128	43934
361	36242	43851
362	36368	43782
363	36497	43716
364	36625	43649
365	36764	43595
366	36893	43528
367	37007	43443
368	37124	43361
369	37273	43318
370	37390	43235
371	37509	43156
372	37635	43084
373	37756	43006
374	37885	42936
375	38011	42863
376	38134	42787
377	38267	42722
378	38392	42646
379	38522	42577
380	38645	42500
381	38766	42419
382	38888	42340
383	39006	42256
384	39145	42195
385	39270	42119
386	39394	42040
387	39522	41966
388	39658	41901
389	39812	41854
390	39946	41785
391	40077	41712
392	40209	41641
393	40339	41567
394	40455	41479
395	40574	41394
396	40686	41301
397	40799	41209
398	40932	41137
399	41057	41057
400	41179	40974
401	41309	40897
402	41423	40806
403	41535	40713
404	41659	40630
405	41786	40551
406	41916	40474
407	42044	40396
408	42170	40314
409	42292	40229
410	42430	40158
411	42554	40075
412	42676	39989
413	42790	39896
414	42912	39810
415	43031	39721
416	43155	39636
417	43276	39549
418	43403	39467
419	43519	39374
420	43645	39291
421	43769	39205
422	43889	39116
423	44020	39037
424	44141	38948
425	44256	38853
426	44374	38762
427	44499	38676
428	44619	38586
429	44731	38489
430	44857	38404
431	44984	38319
432	45118	38241
433	45250	38160
434	45383	38080
435	45525	38007
436	45640	37912
437	45773	37831
438	45899	37744
439	46024	37656
440	46144	37564
441	46265	37472
442	46393	37387
443	46508	37290
444	46635	37203
445	46775	37127
446	46889	37029
447	47020	36945
448	47153	36861
449	47289	36780
450	47411	36689
451	47543	36604
452	47664	36510
453	47783	36416
454	47923	36337
455	48038	36239
456	48148	36137
457	48268	36043
458	48381	35943
459	48443	35806
460	48571	35717
461	48684	35617
462	48801	35520
463	48913	35420
464	49028	35321
465	49153	35230
466	49279	35139
467	49404	35047
468	49532	34957
469	49646	34858
470	49768	34763
471	49889	34669
472	50009	34572
473	50129	34477
474	50251	34382
475	50374	34288
476	50488	34188
477	50610	34093
478	50736	34001
479	50854	33903
480	50979	33809
481	51108	33718
482	51235	33626
483	51359	33532
484	51501	33449
485	51615	33348
486	51740	33254
487	51856	33153
488	51969	33052
489	52007	32902
490	52128	32806
491	52262	32717
492	52376	32616
493	52505	32523
494	52616	32420
495	52746	32328
496	52877	32237
497	53004	32143
498	53141	32055
499	53282	31969
500	53416	31879
501	53550	31788
502	53668	31688
503	53789	31590
504	53901	31487
505	54030	31393
506	54154	31296
507	54267	31193
508	54382	31090
509	54517	30999
510	54641	30902
511	54764	30804
512	54885	30706
513	55004	30605
514	55127	30507
515	55251	30409
516	55394	30322
517	55514	30222
518	55637	30123
519	55756	30022
520	55889	29929
521	56003	29825
522	56120	29723
523	56257	29631
524	56387	29536
525	56529	29447
526	56658	29350
527	56779	29250
528	56894	29146
529	57019	29047
530	57141	28947
531	57267	28848
532	57412	28760
533	57536	28660
534	57645	28553
535	57763	28450
536	57887	28350
537	58014	28252
538	58153	28159
539	58278	28059
540	58397	27957
541	58520	27856
542	58650	27759
543	58778	27660
544	58897	27557
545	59015	27454
546	59122	27345
547	59240	27241
548	59361	27139
549	59466	27030
550	59589	26928
551	59708	26825
552	59837	26726
553	59966	26627
554	60094	26528
555	60214	26424
556	60341	26324
557	60455	26218
558	60591	26122
559	60714	26020
560	60837	25918
561	60962	25817
